Period,House,Grid
May-22_Hour12,0.0,13038.330000000004
May-22_Hour13,0.0,14490.0
May-22_Hour14,0.0,13172.2
May-22_Hour15,0.0,13831.1
May-22_Hour16,0.0,13831.1
May-22_Hour17,0.0,13831.1
May-22_Hour18,0.0,4550.1
May-22_Hour19,0.0,0.0
May-22_Hour20,0.0,0.0
May-22_Hour21,0.0,0.0
May-22_Hour22,0.0,0.0
May-22_Hour23,0.0,0.0
May-23_Hour0,0.0,0.0
May-23_Hour1,0.0,0.0
May-23_Hour2,0.0,0.0
May-23_Hour3,0.0,0.0
May-23_Hour4,0.0,0.0
May-23_Hour5,0.0,0.0
May-23_Hour6,0.0,0.0
May-23_Hour7,0.0,0.0
May-23_Hour8,0.0,0.0
May-23_Hour9,0.0,0.0
May-23_Hour10,0.0,0.0
May-23_Hour11,0.0,0.0
May-23_Hour12,0.0,13697.230000000003
May-23_Hour13,0.0,13172.2
May-23_Hour14,0.0,13831.1
May-23_Hour15,0.0,14490.0
May-23_Hour16,0.0,13172.2
May-23_Hour17,0.0,14490.0
May-23_Hour18,0.0,6586.1
May-23_Hour19,0.0,0.0
May-23_Hour20,0.0,0.0
May-23_Hour21,0.0,0.0
May-23_Hour22,0.0,0.0
May-23_Hour23,0.0,0.0
May-24_Hour0,0.0,0.0
May-24_Hour1,0.0,0.0
May-24_Hour2,0.0,0.0
May-24_Hour3,0.0,0.0
May-24_Hour4,0.0,0.0
May-24_Hour5,0.0,0.0
May-24_Hour6,0.0,0.0
May-24_Hour7,0.0,0.0
May-24_Hour8,0.0,0.0
May-24_Hour9,0.0,0.0
May-24_Hour10,0.0,0.0
May-24_Hour11,0.0,0.0
May-24_Hour12,0.0,11002.329999999994
May-24_Hour13,0.0,13831.1
May-24_Hour14,0.0,13831.1
May-24_Hour15,0.0,13831.1
May-24_Hour16,0.0,13172.2
May-24_Hour17,0.0,13831.1
May-24_Hour18,0.0,4550.1
May-24_Hour19,0.0,0.0
May-24_Hour20,0.0,0.0
May-24_Hour21,0.0,0.0
May-24_Hour22,0.0,0.0
May-24_Hour23,0.0,0.0
May-25_Hour0,0.0,0.0
May-25_Hour1,0.0,0.0
May-25_Hour2,0.0,0.0
May-25_Hour3,0.0,0.0
May-25_Hour4,0.0,0.0
May-25_Hour5,0.0,0.0
May-25_Hour6,0.0,0.0
May-25_Hour7,0.0,0.0
May-25_Hour8,0.0,0.0
May-25_Hour9,0.0,0.0
May-25_Hour10,0.0,0.0
May-25_Hour11,0.0,0.0
May-25_Hour12,0.0,13038.330000000002
May-25_Hour13,0.0,13831.1
May-25_Hour14,0.0,13831.1
May-25_Hour15,0.0,13831.1
May-25_Hour16,0.0,14490.0
May-25_Hour17,0.0,13831.1
May-25_Hour18,0.0,3891.2
May-25_Hour19,0.0,0.0
May-25_Hour20,0.0,0.0
May-25_Hour21,0.0,0.0
May-25_Hour22,0.0,0.0
May-25_Hour23,0.0,0.0
May-26_Hour0,0.0,0.0
May-26_Hour1,0.0,0.0
May-26_Hour2,0.0,0.0
May-26_Hour3,0.0,0.0
May-26_Hour4,0.0,0.0
May-26_Hour5,0.0,0.0
May-26_Hour6,0.0,0.0
May-26_Hour7,0.0,0.0
May-26_Hour8,0.0,0.0
May-26_Hour9,0.0,0.0
May-26_Hour10,0.0,0.0
May-26_Hour11,0.0,0.0
May-26_Hour12,0.0,13038.330000000004
May-26_Hour13,0.0,13831.1
May-26_Hour14,0.0,14490.0
May-26_Hour15,0.0,13831.1
May-26_Hour16,0.0,13831.1
May-26_Hour17,0.0,13831.1
May-26_Hour18,0.0,6586.1
May-26_Hour19,0.0,0.0
